crash_year,hour_of_day,latitude,longitude
2017,99,39 55:29.978,75 09:06.591
2017,18,39 58:33.600,75 10:05.800
2017,5,40 02:12.597,75 00:49.812
2017,16,40 01:45.645,75 01:20.281
2017,15,40 00:01.439,75 04:47.148
2017,22,39 57:36.435,75 10:50.142
2017,12,39 56:10.496,75 11:02.083
2017,1,39 57:27.984,75 09:42.401
2017,12,40 02:12.235,75 03:52.193
2017,15,40 02:46.883,75 00:04.188
2017,21,40 01:06.607,75 03:27.456
2017,3,40 00:25.482,75 07:20.523
2017,13,40 01:51.222,75 13:42.887
2017,12,39 56:58.294,75 09:37.458
2017,18,39 59:15.093,75 10:42.149
2017,12,40 04:26.373,75 09:29.572
2017,17,39 58:49.033,75 12:19.851
2017,1,39 58:55.079,75 14:20.664
2017,16,39 55:44.712,75 13:13.928
2017,20,39 58:44.352,75 08:09.973
2017,18,40 04:15.122,75 14:28.540
2017,14,39 59:57.911,75 06:41.780
2017,21,40 02:45.606,75 03:25.542
2017,14,39 53:40.400,75 13:46.386
2017,18,39 58:07.794,75 08:08.606
2017,10,39 56:44.167,75 11:25.033
2017,10,39 55:30.511,75 10:16.483
2017,8,39 57:16.485,75 13:33.593
2017,8,39 56:44.167,75 11:25.033
2017,22,39 57:28.590,75 09:50.929
2017,1,40 02:25.526,75 03:55.923
2017,15,39 55:23.841,75 11:18.683
2017,9,39 59:14.704,75 13:56.672
2017,15,40 03:41.862,75 12:00.041
2017,13,40 05:45.466,74 59:28.100
2017,14,40 02:47.902,75 08:11.614
2017,23,39 58:18.181,75 07:33.198
2017,14,40 02:29.083,75 07:12.377
2017,16,39 56:53.426,75 10:27.578
2017,12,40 02:06.735,75 08:43.670
2017,7,39 58:13.623,75 09:03.509
2017,8,39 57:26.287,75 09:29.719
2017,16,40 00:06.220,75 10:14.566
2017,12,40 02:28.801,75 06:24.126
2017,19,40 00:06.355,75 11:41.830
2017,8,40 01:35.573,75 06:54.475
2017,22,40 02:28.908,75 01:41.719
2017,23,40 06:00.666,75 00:27.822
2017,7,39 59:58.649,75 11:26.101
2017,10,40 03:30.571,75 11:59.657
2017,99,39 57:57.055,75 14:47.220
2017,15,40 00:33.149,75 08:59.751
2017,17,39 55:20.271,75 11:14.893
2017,7,40 07:53.956,75 00:43.926
2017,23,40 01:47.773,75 09:11.764
2017,20,40 03:11.181,75 08:59.701
2017,18,40 00:43.542,75 06:43.855
2017,17,40 00:47.721,75 06:31.269
2017,18,39 55:35.137,75 10:32.938
2017,9,40 02:52.901,75 05:34.215
2017,17,39 57:22.420,75 09:45.641
2017,99,39 58:33.758,75 14:18.870
2017,13,39 56:02.162,75 08:53.318
2017,1,39 57:45.291,75 12:46.949
2017,11,39 53:34.193,75 13:37.132
2017,7,40 00:29.434,75 08:33.954
2017,16,39 58:47.761,75 06:23.029
2017,18,39 58:56.445,75 10:25.795
2017,16,40 00:20.425,75 06:03.822
2017,12,40 02:52.652,75 03:03.531
2017,15,39 55:06.391,75 13:49.616
2017,8,39 59:38.007,75 06:52.898
2017,15,40 00:59.817,75 08:49.848
2017,23,40 00:16.380,75 11:26.504
2017,16,39 58:28.792,75 13:35.218
2017,6,39 58:24.844,75 11:13.170
2017,9,40 01:40.752,75 03:26.701
2017,19,39 55:04.987,75 14:18.317
2017,19,40 05:52.040,74 57:52.660
2017,9,39 58:18.772,75 09:45.771
2017,11,39 57:25.398,75 09:02.713
2017,8,39 56:56.307,75 11:57.602
2017,0,39 56:37.895,75 10:01.861
2017,15,39 58:42.010,75 09:20.607
2017,14,39 58:59.458,75 08:41.805
2017,19,39 57:21.840,75 14:16.016
2017,11,39 53:14.302,75 12:57.488
2017,19,40 07:53.892,75 00:41.222
2017,22,39 59:52.749,75 07:31.162
2017,16,40 02:32.604,75 00:13.704
2017,99,39 56:04.239,75 10:13.227
2017,23,39 59:38.209,75 09:16.513
2017,20,40 03:07.636,75 07:13.327
2017,7,40 01:50.743,75 05:35.516
2017,3,40 00:11.127,75 11:40.093
2017,11,40 00:53.164,75 05:07.676
2017,13,39 57:35.596,75 11:37.672
2017,16,39 57:55.638,75 12:00.277
2017,9,39 58:05.923,75 15:43.477
2017,15,39 56:28.410,75 10:21.320
2017,19,40 01:33.754,75 01:38.076
